accession_number
GCF_000001735.4
GCF_000002425.4
GCF_000002775.5
GCF_000003195.3
GCF_000004075.3
GCF_000004255.2
GCF_000004515.6
GCF_000005505.3
GCF_000143415.4
GCF_000147395.1
GCF_000150535.2
GCF_000184155.1
GCF_000188115.5
GCF_000208745.1
GCF_000226075.1
GCF_000231095.2
GCF_000263155.2
GCF_000309985.2
GCF_000313855.2
GCF_000331145.1
GCF_000340665.2
GCF_000346465.2
GCF_000346735.1
GCF_000365185.1
GCF_000375325.1
GCF_000390325.2
GCF_000393655.1
GCF_000414095.1
GCF_000442705.1
GCF_000463585.1
GCF_000471905.2
GCF_000478725.1
GCF_000493195.1
GCF_000495115.2
GCF_000499845.1
GCF_000504015.1
GCF_000512975.1
GCF_000633955.1
GCF_000695525.1
GCF_000715135.1
GCF_000741045.1
GCF_000801105.2
GCF_000816755.2
GCF_000817695.3
GCF_001263595.1
GCF_001406875.1
GCF_001411555.2
GCF_001433935.1
GCF_001531365.2
GCF_001540865.1
GCF_001605985.2
GCF_001625215.1
GCF_001633185.2
GCF_001659605.2
GCF_001683475.1
GCF_001865875.1
GCF_001876935.1
GCF_001879085.1
GCF_001879475.1
GCF_001995035.1
GCF_002114115.1
GCF_002127325.2
GCF_002162155.2
GCF_002168275.1
GCF_002207925.1
GCF_002211085.1
GCF_002303985.1
GCF_002575655.2
GCF_002738345.1
GCF_002738365.1
GCF_002742605.1
GCF_002806865.2
GCF_002870075.4
GCF_002878395.1
GCF_002994745.2
GCF_003073215.2
GCF_003086295.2
GCF_003473485.1
GCF_003573695.1
GCF_003576645.1
GCF_003713205.1
GCF_003713225.1
GCF_003935025.1
GCF_004118075.2
GCF_004153795.1
GCF_004193775.1
GCF_004353265.1
GCF_004379255.2
GCF_004785595.1
GCF_004799145.1
GCF_005239225.1
GCF_005286985.1
GCF_006381635.1
GCF_007655135.1
GCF_007990345.1
GCF_008641045.1
GCF_008831285.2
GCF_009389715.1
GCF_009727055.1
GCF_009730915.1
GCF_009805555.1
GCF_010389155.1
GCF_011075055.1
GCF_012489685.1
GCF_013358625.1
GCF_013401445.1
GCF_014633365.1
GCF_014773155.1
GCF_014843425.1
GCF_016545825.1
GCF_016808095.1
GCF_016808335.1
GCF_018294505.1
GCF_018446385.1
GCF_018687715.1
GCF_018835915.1
GCF_018873765.1
GCF_019175385.1
GCF_019186545.1
GCF_019202715.1
GCF_019359855.1
GCF_019419815.1
GCF_019578655.1
GCF_020283565.1
GCF_020379485.1
GCF_020520425.1
GCF_020796205.1
GCF_020921035.1
GCF_021117445.2
GCF_022201045.2
GCF_022539505.1
GCF_023119035.1
GCF_024323335.1
GCF_025177605.1
GCF_025698485.1
GCF_025698545.1
GCF_026212465.1
GCF_026745355.1
GCF_028751815.1
GCF_029017545.1
GCF_029784015.1
GCF_029867415.1
GCF_029873635.1
GCF_029962835.1
GCF_030052815.1
GCF_030253575.1
GCF_030272615.1
GCF_030704535.1
GCF_030987335.1
GCF_900185275.1
GCF_900626175.2
GCF_901000735.1
GCF_902167145.1
GCF_902201215.1
GCF_904849725.1
GCF_907164915.1
GCF_916048215.2
GCF_932294415.1
GCF_933775445.1
GCF_937616625.2
GCF_947179165.1
Custom accessions:
GCA_028659135.1
GCA_012979155.1
