library	read_counts
insilico_ribodepleted_reads/D-VA-A20.nonrrna_1.fastq	14722770
insilico_ribodepleted_reads/T-RA-M21.nonrrna_2.fastq	23792678
insilico_ribodepleted_reads/T-JV-M20.nonrrna_2.fastq	20305689
insilico_ribodepleted_reads/C-JV-J21.nonrrna_1.fastq	24466025
insilico_ribodepleted_reads/M-VA-M20.nonrrna_1.fastq	16221803
insilico_ribodepleted_reads/T-AM-M21.nonrrna_2.fastq	26391036
insilico_ribodepleted_reads/R-PL-M20.nonrrna_1.fastq	17190777
insilico_ribodepleted_reads/D-JA-M21.nonrrna_1.fastq	25654498
insilico_ribodepleted_reads/C-GM-M21.nonrrna_2.fastq	26484170
insilico_ribodepleted_reads/T-HP-M21.nonrrna_2.fastq	23971460
insilico_ribodepleted_reads/D-PL-M20.nonrrna_1.fastq	9697259
insilico_ribodepleted_reads/C-RA-M21.nonrrna_2.fastq	25790049
insilico_ribodepleted_reads/C-JV-M20.nonrrna_2.fastq	19386402
insilico_ribodepleted_reads/M-VA-J21.nonrrna_2.fastq	22642464
insilico_ribodepleted_reads/M-PL-M21.nonrrna_2.fastq	23877348
insilico_ribodepleted_reads/T-JV-J21.nonrrna_1.fastq	17471640
insilico_ribodepleted_reads/C-AM-M21.nonrrna_2.fastq	18822861
insilico_ribodepleted_reads/D-PL-J21.nonrrna_2.fastq	18938751
insilico_ribodepleted_reads/T-GM-M21.nonrrna_2.fastq	15361451
insilico_ribodepleted_reads/C-HP-M21.nonrrna_2.fastq	24910020
insilico_ribodepleted_reads/R-VA-M21.nonrrna_2.fastq	25857445
insilico_ribodepleted_reads/D-VA-M21.nonrrna_2.fastq	26147902
insilico_ribodepleted_reads/R-PL-J21.nonrrna_2.fastq	10638859
insilico_ribodepleted_reads/T-RA-A20.nonrrna_1.fastq	16188891
insilico_ribodepleted_reads/T-AM-A20.nonrrna_1.fastq	2196799
insilico_ribodepleted_reads/T-HP-A20.nonrrna_1.fastq	21108690
insilico_ribodepleted_reads/T-HP-M20.nonrrna_2.fastq	17859223
insilico_ribodepleted_reads/C-GM-M20.nonrrna_2.fastq	19926934
insilico_ribodepleted_reads/R-PL-M21.nonrrna_1.fastq	24357774
insilico_ribodepleted_reads/D-VA-J21.nonrrna_1.fastq	17476628
insilico_ribodepleted_reads/R-VA-J21.nonrrna_1.fastq	24776596
insilico_ribodepleted_reads/C-HP-J21.nonrrna_1.fastq	26582618
insilico_ribodepleted_reads/D-PL-M21.nonrrna_1.fastq	13936290
insilico_ribodepleted_reads/C-AM-J21.nonrrna_1.fastq	24656081
insilico_ribodepleted_reads/T-JV-M21.nonrrna_2.fastq	21228365
insilico_ribodepleted_reads/T-RA-M20.nonrrna_2.fastq	17106625
insilico_ribodepleted_reads/M-PL-J21.nonrrna_1.fastq	20726054
insilico_ribodepleted_reads/T-AM-M20.nonrrna_2.fastq	13930683
insilico_ribodepleted_reads/M-VA-M21.nonrrna_1.fastq	22471699
insilico_ribodepleted_reads/Pos_control.nonrrna_2.fastq	26450029
insilico_ribodepleted_reads/C-RA-J21.nonrrna_1.fastq	25363121
insilico_ribodepleted_reads/C-JV-A20.nonrrna_1.fastq	15121627
insilico_ribodepleted_reads/M-HP-A20.nonrrna_1.fastq	9702269
insilico_ribodepleted_reads/Neg_control.nonrrna_1.fastq	25679584
insilico_ribodepleted_reads/C-PL-A20.nonrrna_1.fastq	15681710
insilico_ribodepleted_reads/M-AM-A20.nonrrna_1.fastq	7946750
insilico_ribodepleted_reads/M-GM-M21.nonrrna_2.fastq	24794778
insilico_ribodepleted_reads/D-RA-M20.nonrrna_1.fastq	10241774
insilico_ribodepleted_reads/R-AM-M20.nonrrna_1.fastq	17639656
insilico_ribodepleted_reads/R-JV-M21.nonrrna_1.fastq	25429966
insilico_ribodepleted_reads/R-RA-M20.nonrrna_1.fastq	19364005
insilico_ribodepleted_reads/D-AM-M20.nonrrna_1.fastq	8333587
